Accident_ID,Incident_Date,Incident_Category,Aircaft_Nature,Fatalities,International,Departure_Code,Destination_Code
6195,1983-07-17,Hijacking,Passenger,0,0,USA,USA
6196,1983-07-19,Hijacking,Passenger,0,0,USA,USA
6197,1983-07-21,Hijacking,Passenger,0,0,USA,USA
6198,1983-07-23,Accident,Passenger,0,0,CAN,CAN
6199,1983-08-02,Hijacking,Passenger,0,0,USA,USA
6200,1983-08-04,Accident,Passenger,0,1,IND,PAK
6201,1983-08-04,Hijacking,Passenger,0,1,PRI,USA
6202,1983-08-05,Accident,Cargo,2,0,IDN,IDN
6203,1983-08-17,Accident,Other,0,0,USA,USA
6204,1983-08-17,Accident,Other,0,1,VIR,PRI
6205,1983-08-18,Hijacking,Passenger,0,0,USA,USA
6206,1983-08-19,"other occurrence (ground fire, sabotage)",Passenger,0,1,ITA,SYR
6207,1983-08-21,Accident,Other,11,0,USA,USA
6208,1983-08-26,Hijacking,Other,0,1,LBY,LBN
6209,1983-08-27,Accident,Passenger,0,0,USA,USA
6210,1983-08-27,Hijacking,Passenger,0,1,AUT,FRA
6211,1983-08-28,Accident,Passenger,12,0,AUS,AUS
6212,1983-08-30,Accident,Passenger,90,1,RUS,KAZ
6213,1983-09-01,"Criminal occurrence (sabotage, shoot down)",Passenger,269,1,USA,KOR
6214,1983-09-01,Hijacking,Passenger,0,0,MEX,MEX
6215,1983-09-02,Accident,Passenger,7,0,CAN,CAN
6216,1983-09-14,Accident,Passenger,11,0,CHN,CHN
6217,1983-09-22,Hijacking,Passenger,0,1,USA,VIR
6218,1983-09-23,"Criminal occurrence (sabotage, shoot down)",Passenger,112,1,PAK,ARE
6219,1983-09-25,"Criminal occurrence (sabotage, shoot down)",Cargo,0,1,NGA,GHA
6220,1983-09-28,Accident,Passenger,10,0,TWN,TWN
6221,1983-09-29,Accident,Other,0,0,CAN,CAN
6222,1983-10-03,"Criminal occurrence (sabotage, shoot down)",Military,1,0,HND,HND
6223,1983-10-07,Accident,Passenger,7,0,BRA,BRA
6224,1983-10-08,Accident,Passenger,9,0,MMR,MMR
6225,1983-10-09,Accident,Passenger,0,0,TWN,TWN
6226,1983-10-11,Accident,Cargo,0,1,DEU,NLD
6227,1983-10-11,Accident,Passenger,10,0,USA,USA
6228,1983-10-15,Hijacking,Passenger,0,0,USA,USA
6229,1983-10-18,Accident,Cargo,0,1,HKG,ARE
6230,1983-10-19,Accident,Other,0,0,RUS,RUS
6231,1983-10-25,Accident,Other,0,0,USA,USA
6232,1983-10-28,"other occurrence (ground fire, sabotage)",Passenger,1,0,USA,USA
6233,1983-10-28,Accident,Cargo,0,0,BOL,BOL
6234,1983-10-31,Accident,Cargo,0,0,USA,USA
6235,1983-11-08,"Criminal occurrence (sabotage, shoot down)",Passenger,130,0,AGO,AGO
6236,1983-11-11,Accident,Passenger,0,0,USA,USA
6237,1983-11-11,Accident,Military,30,0,RUS,RUS
6238,1983-11-18,Hijacking,Passenger,7,1,GEO,RUS
6239,1983-11-21,Hijacking,Passenger,0,0,USA,USA
6240,1983-11-21,Accident,Military,9,0,RUS,RUS
6241,1983-11-23,Accident,Passenger,4,0,CAN,CAN
6242,1983-11-26,Accident,Passenger,8,0,USA,USA
6243,1983-11-27,Accident,Passenger,181,1,FRA,ESP
6244,1983-11-28,Accident,Passenger,53,0,NGA,NGA
